Station_Event_ID,Catch_ID,Specimen_ID,Alternative_ID,Species_Recorded,Scientific_Name,Taxonomic_rank,common_name,Sex,Lifestage,Specimen_Length,Size_class_mm,Number_measured,Length_Type,Specimen_Length2,Length_Type2,Length_Units,Specimen_Weight,Specimen_Weight2,Weight_Units,Weight_Type,Comments,Stomach_fullness,Gonad_weight_grams,Fin_clip,Marks/Scars,Visceral adhesion,Gill,Scale book,Scale num,DNA,Head,Gonad,Liver,Muscle(-20),Muscle(-80),Note,Barcode number
IYS2022-TINRO-3-9-Trawl,IYS2022-TINRO-3-9-Trawl-49,IYS2022-TINRO-3-9-Trawl-49-36,NA,NA,Oncorhynchus gorbuscha,species,Pink Salmon,Female,Juvenile,257,1,1,Fork length,238,Standard length,Millimetres,155,124,Grams,Wet weight,NA,2,NA,-,-,-,P1103,1,11-15,Pink-3,TIN-22_244,TIN-22_201,TIN-22_242,T22-137,T22-138,NP Scale,NA
IYS2022-TINRO-3-9-Trawl,IYS2022-TINRO-3-9-Trawl-49,IYS2022-TINRO-3-9-Trawl-49-37,NA,NA,Oncorhynchus gorbuscha,species,Pink Salmon,Male,Juvenile,239,1,1,Fork length,222,Standard length,Millimetres,117,NA,Grams,Wet weight,NA,2,NA,-,-,-,P1104,1,16-20,Pink-4,TIN-22_220,-,TIN-22_275,T22-144,T22-143,NP Scale,NA
IYS2022-TINRO-3-9-Trawl,IYS2022-TINRO-3-9-Trawl-50,IYS2022-TINRO-3-9-Trawl-50-38,NA,NA,Oncorhynchus tschawytscha,species,Chinook Salmon,Male,immature,473,1,1,Fork length,445,Standard length,Millimetres,1344,1242,Grams,Wet weight,NA,2,NA,-,-,-,P0902,1,6-10,Chin-2,TIN-22_243,-,TIN-22_226,T22-131,T22-132,NP Scale,NA
IYS2022-TINRO-3-9-Trawl,IYS2022-TINRO-3-9-Trawl-50,IYS2022-TINRO-3-9-Trawl-50-39,NA,NA,Oncorhynchus tschawytscha,species,Chinook Salmon,Female,immature,445,1,1,Fork length,421,Standard length,Millimetres,931,867,Grams,Wet weight,NA,1,2,-,SL3VR,-,P0903,1,11-15,Chin-3,TIN-22_245,TIN-22_228,TIN-22_241,T22-133,T22-134,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-40,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,immature,411,1,1,Fork length,384,Standard length,Millimetres,781,728,Grams,Wet weight,NA,1,NA,–,–,1,P1216,3,1-5,Sock-17,TIN-22_236,–,TIN-22_209,T22-180,T22-181,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-41,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,immature,380,1,1,Fork length,359,Standard length,Millimetres,556,515,Grams,Wet weight,NA,1,NA,–,–,–,P1217,3,6-10,Sock-18,TIN-22_216,–,TIN-22_238,T22-145,T22-183,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-42,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,immature,389,1,1,Fork length,369,Standard length,Millimetres,596,561,Grams,Wet weight,NA,1,NA,–,–,–,P1218,3,11-15,Sock-19,TIN-22_246,–,TIN-22_221,T22-182,T22-159,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-43,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Male,immature,379,1,1,Fork length,359,Standard length,Millimetres,568,526,Grams,Wet weight,NA,1,NA,–,–,1,P1219,3,16-20,Sock-20,TIN-22_116,–,TIN-22_291,T22-184,T22-185,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-44,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,405,1,1,Fork length,384,Standard length,Millimetres,711,650,Grams,Wet weight,NA,1,8,–,–,–,P1220,3,21-25,Sock-21,TIN-22_47,TIN-22_219,TIN-22_298,T22-186,T22-187,NP Scale,NA
IYS2022-TINRO-3-10-Trawl,IYS2022-TINRO-3-10-Trawl-58,IYS2022-TINRO-3-10-Trawl-58-45,NA,NA,Oncorhynchus nerka,species,Sockeye Salmon,Female,immature,345,1,1,Fork length,326,Standard length,Millimetres,364,NA,Grams,Wet weight,NA,1,1,–,–,1,P1221,3,26-30,Sock-22,TIN-22_34,TIN-22_27,TIN-22_30,T22-188,T22-189,NP Scale,NA
